store_id,Gasolina Comum sum_quantity_in_litres_using_shell_box,Gasolina Comum sum_quantity_in_litres_not_using_shell_box,Gasolina Comum mean_price_per_litre,Gasolina Comum total_using_shell_box,Gasolina Comum total_not_using_shell_box,Etanol Comum sum_quantity_in_litres_using_shell_box,Etanol Comum sum_quantity_in_litres_not_using_shell_box,Etanol Comum mean_price_per_litre,Etanol Comum total_using_shell_box,Etanol Comum total_not_using_shell_box,Gasolina Aditivada sum_quantity_in_litres_using_shell_box,Gasolina Aditivada sum_quantity_in_litres_not_using_shell_box,Gasolina Aditivada mean_price_per_litre,Gasolina Aditivada total_using_shell_box,Gasolina Aditivada total_not_using_shell_box,Diesel Comum sum_quantity_in_litres_using_shell_box,Diesel Comum sum_quantity_in_litres_not_using_shell_box,Diesel Comum mean_price_per_litre,Diesel Comum total_using_shell_box,Diesel Comum total_not_using_shell_box,Diesel Aditivado sum_quantity_in_litres_using_shell_box,Diesel Aditivado sum_quantity_in_litres_not_using_shell_box,Diesel Aditivado mean_price_per_litre,Diesel Aditivado total_using_shell_box,Diesel Aditivado total_not_using_shell_box,Etanol Aditivado sum_quantity_in_litres_using_shell_box,Etanol Aditivado sum_quantity_in_litres_not_using_shell_box,Etanol Aditivado mean_price_per_litre,Etanol Aditivado total_using_shell_box,Etanol Aditivado total_not_using_shell_box,grocery_existence,shell_box_tokens,num_consumer_use_shell_box,num_consumers,num_consumer_shell_box_gas,num_consumer_shell_box_select,mean_fidelity_consumer,Gasolina Aditivada Racing sum_quantity_in_litres_using_shell_box,Gasolina Aditivada Racing sum_quantity_in_litres_not_using_shell_box,Gasolina Aditivada Racing mean_price_per_litre,Gasolina Aditivada Racing total_using_shell_box,Gasolina Aditivada Racing total_not_using_shell_box,Gas Natural Veicular sum_quantity_in_litres_using_shell_box,Gas Natural Veicular sum_quantity_in_litres_not_using_shell_box,Gas Natural Veicular mean_price_per_litre,Gas Natural Veicular total_using_shell_box,Gas Natural Veicular total_not_using_shell_box
1030666,3904.33,423910.76999999996,4.208523464561958,309.0,50214.0,22058.75,1336306.5899999999,2.678698356029668,958.0,71306.0,4116.99,243443.45,4.2740271903330385,292.0,34463.0,729.12,416728.15,3.4901594287380604,17.0,6845.0,1452.4399999999998,541421.33,3.5870111018594137,29.0,7177.0,4982.5,250764.83999999997,2.7046967493585683,192.0,13836.0,1,2.0,377,565,564,1,3.037848605577689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1033375,1949.624,157861.982,4.089976859212392,68.0,11254.0,7723.868,577437.546,2.744273835179227,272.0,26642.0,0.0,51.43,2.399,0.0,2.0,3429.4300000000003,360336.60500000004,3.640562586733428,15.0,3588.0,5613.3679999999995,373129.733,3.7273403656822097,36.0,4230.0,0.0,0.0,0.0,0.0,0.0,1,0.0,140,167,166,1,2.63855421686747,2295.929,44637.449,4.190609347442877,80.0,4456.0,0.0,0.0,0.0,0.0,0.0
1030534,4900.85,368261.8,4.143366752671385,245.0,26885.0,6796.2,430336.1599999999,2.8299327548812703,252.0,22798.0,732.01,10848.54,4.373999999999982,31.0,789.0,3211.48,109934.97,3.317488943488919,25.0,1603.0,6791.04,123918.43,3.3651861984483613,66.0,2383.0,0.0,0.0,0.0,0.0,0.0,1,0.0,241,289,288,1,2.8566433566433567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1023188,0.0,541272.508,4.099629774930559,0.0,38744.0,0.212,883197.4610000001,2.776336407935343,1.0,45967.0,0.7150000000000001,158870.465,4.30575241157504,4.0,11192.0,0.0,0.0,0.0,0.0,0.0,0.0,192377.42,3.430002044989705,0.0,4890.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622312.2600000001,2.3990000000021614,0.0,58338.0
1018728,18995.74,1621280.3600000003,4.323600174152265,781.0,81905.0,71519.32,4358181.750000001,2.788639728750119,2600.0,179374.0,15865.62,456376.18000000005,4.454045612343819,560.0,20180.0,0.0,0.0,0.0,0.0,0.0,3083.74,485417.45000000007,3.78019964903898,67.0,12470.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1122,1355,1354,1,2.6317411402157167,5785.7300000000005,84843.4,5.253520828972228,200.0,4577.0,0.0,0.0,0.0,0.0,0.0
1037765,1043.98,121270.57,4.326452105851752,69.0,13346.0,2451.05,408050.28,2.7822456306990904,132.0,20924.0,774.0999999999999,53710.740000000005,4.522890851982763,37.0,5057.0,0.0,3903.7599999999998,3.598999999999994,0.0,93.0,87.55000000000001,87377.21,3.7271455301455845,2.0,2403.0,0.0,0.0,0.0,0.0,0.0,1,0.0,98,133,133,0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014970,3693.8,1223127.9000000001,4.166903934021274,364.0,238857.0,22143.589999999997,3087103.99,2.696052657600142,1149.0,294117.0,2406.88,421706.57,4.242640943662917,206.0,77364.0,0.0,0.0,0.0,0.0,0.0,1023.3199999999999,130168.59,3.5931197059853086,49.0,5665.0,0.0,0.0,0.0,0.0,0.0,1,0.0,294,534,534,0,2.782426778242678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024257,7871.661,1014004.498,4.112213190721285,549.0,112955.0,29844.903,2101526.444,2.7254228245945082,1449.0,140766.0,6366.818000000001,436399.986,4.295503530451271,356.0,44964.0,0.0,0.0,0.0,0.0,0.0,1046.0079999999998,325043.156,3.5308970355006934,39.0,8158.0,0.0,0.0,0.0,0.0,0.0,1,0.0,587,806,806,0,2.4102902374670183,0.0,0.0,0.0,0.0,0.0,0.0,13799.3,4.011067099567157,0.0,924.0
256943,6036.320000000001,1179815.0600000003,4.285344983289791,465.0,138391.0,22918.239999999998,2599404.1400000006,2.760734669207529,1013.0,161128.0,525.76,29363.12,4.492516939474749,24.0,2603.0,0.0,0.0,0.0,0.0,0.0,0.0,647203.77,3.566698414528759,0.0,17345.0,0.0,0.0,0.0,0.0,0.0,1,0.0,324,409,409,0,2.645077720207254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025120,12942.31,999541.0700000001,4.054003664136028,944.0,140972.0,41763.509999999995,1794178.2600000002,2.6881013203207096,1720.0,137640.0,13846.11,298631.93,4.134297635063661,668.0,32779.0,0.0,0.0,0.0,0.0,0.0,2496.9500000000003,201408.69,3.465223486808203,74.0,7658.0,0.0,0.0,0.0,0.0,0.0,1,0.0,543,856,856,0,2.542281879194631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
